OBJECTID,305B ID,Acres,NHD Basin,Cycle,Name,Location,Aquatic Life,Recreation,FIish Consumption,Drinking Water Supply,Shape__Area,Shape__Length
92,CT6016-00-1-L3_01,65.66,01100005,2012,Hatch Pond (Kent),"South central Kent,  DS of Leonard Pond along Womenshenuck Brook.",Not Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,2860026.72747803,9102.20490686439
93,CT6909-00-2-L1_01,5.3,01100005,2012,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.",Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,230909.922790527,2783.445119483
94,CT6804-02-1-L1_01,101.41,01100005,2012,Long Meadow Pond (Bethlehem/Morris),"North central Bethlehem, borders Morris.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4417389.51495361,18026.9939863131
95,CT6912-05-1-L2_01,112.87,01100005,2012,"Winnemaug, Lake (Watertown)",Southwest Watertown.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4916775.61260986,17503.1563121598
96,CT6400-00-1-L5_01,5085.67,01100005,2012,"Candlewood, Lake (New Fairfield/Danbury/Sherman/New Milford)","Parts of Brookfield, Danbury, New Milford, New Farfield, & Sherman.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,221531973.90918,345092.827981173
97,CT6023-00-1-L1_01,296.89,01100005,2012,"Quassapaug, Lake (Middlebury/Woodbury)",Northwestern Middlebury; headwaters of Eightmile Brook.,Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,12932563.1604614,32964.6934017956
98,CT6400-03-1-L1_01,266.81,01100005,2012,Squantz Pond (New Fairfield/Sherman),"Northeast corner of New Fairfield and into Sherman; a large cove of Candlewood Lake, contained by Squantz Pond Dam at Route 39 crossing.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,11622050.0137329,28210.8322219874
99,CT6916-00-3-L4_01,25.77,01100005,2012,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.",Not Assessed,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,1122637.76074219,9200.12640639479
100,CT6402-00-1-L1_01,80.7,01100005,2012,Ball Pond (New Fairfield),New Fairfield,Fully Supporting,Not Supporting,Fully Supporting,Not Assessed,3515310.78204346,9286.3574751367
101,CT6018-00-1-L1_01,124.61,01100005,2012,Taunton Pond (Newtown),Central Newtown.,Fully Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,5427869.75238037,12136.8005858455
102,CT6600-01-1-L3_01,56.75,01100005,2012,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.",Fully Supporting,Not Supporting,Fully Supporting,Fully Supporting,2472100.46374512,8916.19982310384
103,CT6000-00-5+L4_01,346.29,01100005,2012,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"From Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division of lower Lake Zoar and upper Lake Housatonic) Oxford/Monroe. First major impoundment of Housatonic River.",Fully Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,15084482.8284302,69430.8367148112
104,CT6000-88-1-L1_01,4.02,01100005,2012,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).",Not Supporting,Fully Supporting,Not Supporting,Water Not Classified For Drinking Supply,175247.794189453,1855.56413565994
105,CT6914-06-1-L1_01,100.3,01100005,2012,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.",Fully Supporting,Not Supporting,Fully Supporting,Water Not Classified For Drinking Supply,4369071.7041626,19245.3777138373
106,CT4704-00-1-L3_01,122.76,01080205,2012,Babcock Pond (Colchester),"South of Rt 16, southeastern Colchester.  Within Babcock Pond Wildlife Management Area.",Fully Supporting,Fully Supporting,Fully Supporting,Water Not Classified For Drinking Supply,5347464.87969971,24396.2679772346
107,CT4300-00-5+L5_01,214.44,01080207,2012,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor.  Impoundment of the Farmington River.,Not Supporting,Not Assessed,Fully Supporting,Water Not Classified For Drinking Supply,9341263.7723999,60317.9244968144
