OBJECTID,CT LAKE ID,305B ID,Name,Location,Acres,Aquatic Life,Recreation,Fish Consumption,Cycle,Drinking Water Supply,Shape__Area,Shape__Length
80,2681,CT6500-00-1-L1_01,South Spectacle Pond (Kent),East central Kent at headwaters of the West Aspetuck River.,82.26,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,3583224.18658447,8764.90669905784
81,110,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Morris),"Litchfield, Morris",955.45,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,41619222.2994995,49684.0067837657
82,1544,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington; headwaters of East Aspetuck River.",640.81,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,27913702.6436157,48901.4465159383
83,1602,CT6016-00-1-L2_01,Leonard Pond (Kent),"Central Kent, headwaters of Womenshenuck Brook.",20.14,Fully Supporting,Not Assessed,Fully Supporting,2006,Water Not Classified For Drinking Supply,877486.919555664,4538.32918214677
84,1934,CT6705-14-1-L1_01,Mount Tom Pond (Litchfield/Morris/Wahington),"Northwest corner of Morris, southwest corner of Litchfield, within Mount Tom State Park.",55.14,Fully Supporting,Fully Supporting,Fully Supporting,2006,Not Evaluated In 2006,2401888.86883545,7952.18800783204
85,1172,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent,  DS of Leonard Pond along Womenshenuck Brook.",65.66,Not Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,2860055.32983398,9102.2673008156
86,2048,CT6909-00-2-L1_01,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.",5.3,Fully Supporting,Not Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,230903.340515137,2783.39399838452
87,1675,CT6804-02-1-L1_01,Long Meadow Pond (Bethlehem/Morris),"North central Bethlehem, borders Morris.",101.41,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4417433.75274658,18027.0316384752
88,1552,CT6912-05-1-L2_01,"Winnemaug, Lake (Watertown)",Southwest Watertown.,112.87,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,4916805.30126953,17503.214002676
89,1490,CT6400-00-1-L5_01,"Candlewood, Lake (New Fairfield/Danbury/Sherman/New Milford)","Parts of Brookfield, Danbury, New Milford, New Farfield, & Sherman.",5085.67,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,221531757.649658,345093.191352718
90,1533,CT6023-00-1-L1_01,"Quassapaug, Lake (Middlebury/Woodbury)",Northwestern Middlebury; headwaters of Eightmile Brook.,296.89,Fully Supporting,Fully Supporting,Fully Supporting,2006,Water Not Classified For Drinking Supply,12932639.1307373,32964.443966335
